ID	Zipcode	City	GSID	School Name	Grade Range	School Type	Grade Level	Alternative/Special	School Ratings	Median List Price	Median Sale Price	Median Single Family Home Value	Median 2-Bedroom Home Value	Median 3-Bedroom Home Value	Median 4-Bedroom Home Value	Median Condo Value	Median List Price Per Sq Ft	For Sale Link	Quality Score	Appreciation Score
116	94306	Palo Alto	5609	Fairmeadow Elementary School	K-5	public	Elementary	No	10	0	2352900	2380000	1469500	2083100	2697900	1245200	1323	http://www.zillow.com/palo-alto-ca-94306/	78.39274	51.30207157
117	94306	Palo Alto	5613	Herbert Hoover Elementary School	K-5	public	Elementary	No	10	0	2352900	2380000	1469500	2083100	2697900	1245200	1323	http://www.zillow.com/palo-alto-ca-94306/	78.39274	51.30207157
118	94306	Palo Alto	5611	Henry M. Gunn High School	9-12	public	High	No	9	0	2352900	2380000	1469500	2083100	2697900	1245200	1323	http://www.zillow.com/palo-alto-ca-94306/	78.39274	51.30207157
119	94306	Palo Alto	5604	Barron Park Elementary School	K-5	public	Elementary	No	7	0	2352900	2380000	1469500	2083100	2697900	1245200	1323	http://www.zillow.com/palo-alto-ca-94306/	78.39274	51.30207157
120	94401	San Mateo	6974	College Park Elementary School	K-5	public	Elementary	No	9	0	633900	857800	757800	840200	965400	575200	648	http://www.zillow.com/san-mateo-ca-94401/	88.387899	13.11541179
121	94401	San Mateo	6981	San Mateo High School	9-12	public	High	No	8	0	633900	857800	757800	840200	965400	575200	648	http://www.zillow.com/san-mateo-ca-94401/	88.387899	13.11541179
122	94401	San Mateo	6970	North Shoreview Montessori Elementary School	K-8	public	Elementary, Middle	No	8	0	633900	857800	757800	840200	965400	575200	648	http://www.zillow.com/san-mateo-ca-94401/	88.387899	13.11541179
123	94401	San Mateo	6967	Horrall Elementary School	K-5	public	Elementary	No	3	0	633900	857800	757800	840200	965400	575200	648	http://www.zillow.com/san-mateo-ca-94401/	88.387899	13.11541179
124	94501	Alameda	31143	Encinal Junior Jets	6-8	public	Middle	No	None	0	802800	845200	675200	860400	987900	503400	523	http://www.zillow.com/alameda-ca-94501/	41.664361	18.17840097
125	94501	Alameda	15032	East Bay Regional Occupation Center/Agency (Roc/P)	9-12	public	High	No	None	0	802800	845200	675200	860400	987900	503400	523	http://www.zillow.com/alameda-ca-94501/	41.664361	18.17840097
126	94501	Alameda	9	Island High (Continuation) School	9-12	public	High	No	None	0	802800	845200	675200	860400	987900	503400	523	http://www.zillow.com/alameda-ca-94501/	41.664361	18.17840097
127	94501	Alameda	26955	Maya Lin School	K-5	public	Elementary	No	None	0	802800	845200	675200	860400	987900	503400	523	http://www.zillow.com/alameda-ca-94501/	41.664361	18.17840097
128	94501	Alameda	5	Edison Elementary School	K-5	public	Elementary	No	10	0	802800	845200	675200	860400	987900	503400	523	http://www.zillow.com/alameda-ca-94501/	41.664361	18.17840097
129	94501	Alameda	10	Lincoln Middle School	6-8	public	Middle	No	9	0	802800	845200	675200	860400	987900	503400	523	http://www.zillow.com/alameda-ca-94501/	41.664361	18.17840097
