zip,type,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,latitude,longitude,world_region,country,decommissioned,estimated_population,notes
94604,PO BOX,Oakland,,,CA,Alameda County,America/Los_Angeles,510,37.8,-122.26,NA,US,0,1423,
94605,STANDARD,Oakland,,,CA,Alameda County,America/Los_Angeles,510,37.75,-122.13,NA,US,0,28141,
94606,STANDARD,Oakland,,,CA,Alameda County,America/Los_Angeles,510,37.78,-122.24,NA,US,0,25875,
94607,STANDARD,Oakland,,,CA,Alameda County,America/Los_Angeles,"510,559,415,925,650",37.81,-122.3,NA,US,0,14897,
94608,STANDARD,Emeryville,Oakland,,CA,Alameda County,America/Los_Angeles,"510,415",37.83,-122.29,NA,US,0,18425,
94609,STANDARD,Oakland,,,CA,Alameda County,America/Los_Angeles,"510,415",37.83,-122.26,NA,US,0,14227,
94610,STANDARD,Oakland,Piedmont,Piedmontxxx,CA,Alameda County,America/Los_Angeles,"510,415",37.81,-122.24,NA,US,0,24162,
94611,STANDARD,Oakland,Piedmont,Piedmontxxx,CA,Alameda County,America/Los_Angeles,"510,415",37.83,-122.22,NA,US,0,32155,
94612,STANDARD,Oakland,,Philatelic Center,CA,Alameda County,America/Los_Angeles,"510,415,925",37.8,-122.27,NA,US,0,8710,
94613,PO BOX,Oakland,,,CA,Alameda County,America/Los_Angeles,510,37.78,-122.18,NA,US,0,0,
94614,PO BOX,Oakland,,,CA,Alameda County,America/Los_Angeles,510,37.72,-122.2,NA,US,0,0,
94615,STANDARD,Oakland,,,CA,Alameda County,America/Los_Angeles,"415,510,925",37.8,-122.29,NA,US,0,0,
94617,STANDARD,Oakland,,,CA,Alameda County,America/Los_Angeles,"415,510,650",37.75,-122.14,NA,US,0,0,
94618,STANDARD,Oakland,Piedmont,,CA,Alameda County,America/Los_Angeles,510,37.84,-122.23,NA,US,0,13888,
94619,STANDARD,Oakland,,,CA,Alameda County,America/Los_Angeles,510,37.78,-122.12,NA,US,0,18775,
94620,PO BOX,Piedmont,Oakland,,CA,Alameda County,America/Los_Angeles,510,37.77,-122.21,NA,US,0,474,
94621,STANDARD,Oakland,,,CA,Alameda County,America/Los_Angeles,"510,925",37.73,-122.2,NA,US,0,18680,
94622,UNIQUE,Oakland,,Oakland Intrntl Service Ctr,CA,Alameda County,America/Los_Angeles,510,37.74,-122.19,NA,US,0,0,"no NWS data, "
