7050,San Miguel Elementary School,K-6,charter,95403
6940,El Crystal Elementary School,K-5,public,94066
24028,Treasure Island School,K-12,private,95037
25516,Silicon Valley Flex Academy,6-12,charter,95037
6424,Redding Elementary School,K-5,public,94109
11534,Williams-Brown Academy,K-5,private,94801
119,Glassbrook Elementary School,K-6,public,94544
26397,Cypress School,K-12,private,94954
6709,Suisun Valley Elementary School,K-8,public,94534
17136,Contra Costa Jewish Day School,K-8,private,94549
5778,San Lorenzo Valley High School,9-12,public,95018
130,Palma Ceia Elementary School,K-6,public,94545
24472,Tilden Preparatory School,6-12 & ungraded,private,94706
5434,Dwight D. Eisenhower Elementary School,K-5,public,95051
6864,Margaret Pauline Brown Elementary School,K-6,public,94015
6446,Visitacion Valley Elementary School,K-5,public,94134
27233,Summit Public School: Denali,6-12,charter,94085
5387,Thomas P. Ryan Elementary School,PK-5,public,95127
24687,KIPP San Jose Collegiate,9-12,charter,95133
12132,Hacienda School,1-8,private,94588
15000,San Joaquin County Rocp School,10-12,public,95206
5628,Braly Elementary School,K-5,public,94086
8139,All Souls Catholic Elementary School,K-8,private,94080
30654,Jecoi Adventure Academy,PK-7,private,95377
216,New Highland Academy,K-5,public,94621
9291,Sonoma Valley Christian School,K-8,private,95476
4938,Sunnyslope Elementary School,K-6,public,95023
551,San Ramon Valley High School,9-12,public,94526
5635,George Mayne Elementary School,K-5,public,95002
23794,Hb6 Christian Academy,K-11,private,94530
26693,Ucs Brookside Christian High School,7-12,private,95207
11905,Life Academy,6-12,public,94601
242,Joaquin Miller Elementary School,K-5,public,94611
3487,Madrone High Continuation School,9-12,public,94901
17032,Alexander Hamilton Elementary School,K-8,public,95206
6641,Monroe Elementary School,K-8,public,95206
6896,Pescadero Elementary And Middle School,K-8,public,94060
132,Ruus Elementary School,K-6,public,94540
5501,Luigi Aprea Elementary School,K-5,public,95020
7116,Hilliard Comstock Middle School,7-8,public,95403
9049,San Francisco Adventist,K-8,private,94112
3085,Minnie Cannon Elementary School,K-6,public,95461
15874,Wood-Rose College Preparatory,9-12,private,94521
137,Tennyson High School,9-12,public,94544
6347,Carver (George Washington) Elementary School,K-5,public,94124
31243,New Jerusalem Christian Academy,K-12,private,94565
7056,La Tercera Elementary School,K-6,public,94954
8978,Zion Lutheran School,K-8,private,94611
8126,Sts. Peter And Paul Elementary School,K-8,private,94123
5372,Clyde L. Fischer Middle School,6-8,public,95122
25813,Mission Preparatory School,K-8,charter,94112
543,Greenbrook Elementary School,K-5,public,94526
7104,Doyle Park Elementary,K-6,public,95405
3429,Phoenix Academy,9-12,charter,94903
5514,Almond Elementary School,K-6,public,94022
9094,St. Joseph of Cupertino Elementary School,PK-8,private,95014
31557,Casa Dei Bambini School,K-1,private,94025
5373,Joseph George Middle School,6-8,public,95127
9642,Concordia School, The,K-6,private,94518
115,Lorin A. Eden Elementary School,K-6,public,94545
21122,Torah Academy,4-5,private,94303
8245,St. Paul School,PK-8,private,94806
8151,St. Catherine Of Siena Elementary School,K-8,private,94010
9084,St. Patrick Elementary School,PK-12,private,95112
16604,Inner City Christian Academy,K-12,private,95205
26066,Oak Hill School,K-12,private,94960
31168,Acacia Elementary Charter,K-5,charter,95207
12909,Celebration Academy,1-12,private,94551
17372,French American School Of Silicon Valley,K-5,private,94087
6882,Terra Nova High School,9-12,public,94044
588,Kennedy High School,9-12,public,94804
5408,Price Charter Middle School,6-8,charter,95124
3526,Redwood Middle School,6-8,public,94558
39,Berkeley Arts Magnet at Whittier School,K-5,public,94709
