#ZIP,Latitude,Longitude,City,County,Estimated_Population
94925,37.92,-122.51,Corte Madera,Marin County,8134
94926,38.32,-122.7,Rohnert Park,Sonoma County,0
94927,38.34,-122.69,Rohnert Park,Sonoma County,678
94928,38.34,-122.7,Rohnert Park,Sonoma County,30371
94929,38.24,-122.95,Dillon Beach,Marin County,0
94930,37.98,-122.6,Fairfax,Marin County,6948
94931,38.31,-122.7,Cotati,Sonoma County,7260
94933,38.01,-122.69,Forest Knolls,Marin County,771
94937,38.11,-122.92,Inverness,Marin County,867
94938,38.03,-122.7,Lagunitas,Marin County,479
94939,37.93,-122.53,Larkspur,Marin County,5652
94940,38.16,-122.84,Marshall,Marin County,0
94941,37.89,-122.56,Mill Valley,Marin County,25742
94942,37.9,-122.52,Mill Valley,Marin County,977
94945,38.13,-122.56,Novato,Marin County,14293
94946,38.07,-122.68,Nicasio,Marin County,551
94947,38.1,-122.63,Novato,Marin County,19940
94948,38.13,-122.56,Novato,Marin County,1474
94949,38.06,-122.54,Novato,Marin County,14246
94950,38.02,-122.75,Olema,Marin County,0
94951,38.31,-122.64,Penngrove,Sonoma County,3579
94952,38.21,-122.76,Petaluma,Sonoma County,25794
94953,38.26,-122.63,Petaluma,Sonoma County,788
94954,38.23,-122.56,Petaluma,Sonoma County,31071
94955,38.22,-122.55,Petaluma,Sonoma County,564
94956,38.07,-122.86,Point Reyes Station,Marin County,1406
94957,37.96,-122.55,Ross,Marin County,2219
94960,37.99,-122.58,San Anselmo,Marin County,12561
94963,38.02,-122.63,San Geronimo,Marin County,485
94964,37.94,-122.49,San Quentin,Marin County,0
94965,37.84,-122.53,Sausalito,Marin County,9393
94966,37.86,-122.49,Sausalito,Marin County,831
94970,37.91,-122.66,Stinson Beach,Marin County,583
94971,38.24,-122.9,Tomales,Marin County,0
94972,38.29,-122.94,Valley Ford,Sonoma County,0
94973,38,-122.64,Woodacre,Marin County,1339
94974,37.95,-122.54,San Quentin,Marin County,0
94975,38.32,-122.64,Petaluma,Sonoma County,747
94976,37.92,-122.52,Corte Madera,Marin County,365
94977,37.93,-122.53,Larkspur,Marin County,381
94978,37.98,-122.58,Fairfax,Marin County,526
94979,37.97,-122.56,San Anselmo,Marin County,493
94998,38.1,-122.57,Novato,Marin County,0
94999,38.32,-122.64,Petaluma,Sonoma County,0
95001,36.97,-121.89,Aptos,Santa Cruz County,1526
95002,37.44,-121.99,Alviso,Santa Clara County,1749
95003,37,-121.87,Aptos,Santa Cruz County,18954
95005,37.1,-122.08,Ben Lomond,Santa Cruz County,5137
95006,37.16,-122.15,Boulder Creek,Santa Cruz County,7182
95007,37.1,-122.11,Brookdale,Santa Cruz County,647
95008,37.28,-121.95,Campbell,Santa Clara County,36168
95009,37.28,-121.94,Campbell,Santa Clara County,497
95010,36.97,-121.95,Capitola,Santa Cruz County,7918
