#ZIP,Median_Household_Income
95241,NA
95240,41172.00
94002,102090.00
95242,65601.00
94005,78542.00
95320,55688.00
95220,54000.00
95687,73583.00
95686,30491.00
95227,102117.00
94074,84500.00
94070,117679.00
94175,NA
94177,NA
94171,NA
94172,NA
95391,99764.00
94710,63125.00
95194,NA
94712,NA
95196,NA
95191,NA
95190,NA
95193,NA
95192,NA
95234,NA
94404,114511.00
94401,69832.00
94402,107124.00
94403,90764.00
94567,56821.00
94566,117475.00
94565,55255.00
94564,76960.00
94563,164173.00
94562,NA
94561,76693.00
94560,85847.00
95106,NA
95103,NA
95101,NA
95108,NA
95109,NA
95366,71560.00
95409,66567.00
95043,65341.00
95042,NA
95041,58958.00
95046,92778.00
95045,58005.00
95044,NA
95077,NA
94963,83009.00
94960,108629.00
94966,NA
94965,91410.00
94964,NA
94109,60722.00
94130,37500.00
94131,96889.00
94132,69223.00
94133,50485.00
94134,56716.00
94135,NA
94136,NA
94137,NA
94138,NA
94139,NA
95401,52830.00
95407,53729.00
95406,NA
95405,71163.00
95404,66366.00
94039,NA
94038,106429.00
95219,73911.00
94030,88451.00
95215,41736.00
94035,NA
95213,NA
94037,150071.00
95211,NA
94585,70374.00
94587,82083.00
94586,93036.00
94581,NA
94580,71098.00
94583,119623.00
94582,137395.00
94589,56068.00
94588,119849.00
94156,NA
94145,NA
94144,NA
94147,NA
94146,NA
94141,NA
94140,NA
94143,NA
94142,NA
94624,NA
94625,NA
95497,59667.00
94620,NA
94621,31082.00
94622,NA
94623,NA
94720,23304.00
95148,105438.00
95140,163229.00
95141,NA
94088,NA
94089,85769.00
94080,77058.00
94083,NA
94085,91808.00
94086,96919.00
94087,114771.00
94534,92676.00
94535,50970.00
94536,87001.00
94537,NA
94530,84466.00
94531,87927.00
95009,NA
95008,87204.00
95007,146842.00
95006,75944.00
95005,73877.00
95003,83507.00
95002,70114.00
95001,NA
94929,45139.00
94928,56543.00
94927,NA
94926,NA
94925,107193.00
94924,63750.00
94923,76583.00
94922,28864.00
94920,138884.00
95448,61952.00
95446,39258.00
95444,73092.00
95442,57065.00
95441,60357.00
95253,NA
95402,NA
95258,67386.00
95696,NA
94660,NA
94661,NA
94662,NA
94666,NA
94066,78911.00
94108,35427.00
94549,135980.00
94065,132337.00
94062,125060.00
94063,52818.00
94060,80417.00
94061,79833.00
94101,NA
94103,43364.00
94102,22517.00
94105,163949.00
94104,48750.00
94107,114439.00
94106,NA
