ZIP, City, County, State, Year_1996, Year_1997, Year_1998, Year_1999, Year_2000, Year_2001, Year_2002, Year_2003, Year_2004, Year_2005, Year_2006, Year_2007, Year_2008, Year_2009, Year_2010, Year_2011, Year_2012, Year_2013, Year_2014, Year_2015
94002, Belmont, San Mateo, CA, 340333.33, 375000.00, 448812.50, 498937.50, 624937.50, 652916.67, 639050.00, 689054.17, 772591.67, 860625.00, 880816.67, 901108.33, 902068.17, 811776.18, 857118.26, 846070.83, 876788.89, 1000916.41, 1173584.27, 1323619.91
95020, Gilroy, Santa Clara, CA, 213755.56, 232895.83, 265291.67, 290754.17, 391891.67, 427687.50, 432839.58, 459472.92, 540020.83, 650791.67, 688337.50, 668658.33, 529316.67, 410625.00, 391970.83, 397904.17, 387475.00, 502125.00, 573416.67, 572340.00
95023, Hollister, San Benito, CA, 170922.22, 190879.17, 214191.67, 241572.92, 303408.33, 348731.25, 346954.17, 373079.17, 453941.67, 563625.00, 573470.83, 526529.08, 358173.30, 272677.27, 273129.17, 254529.17, 263770.83, 351666.67, 400775.00, 427312.50
94027, Atherton, San Mateo, CA, 1003711.54, 2348000.00, 1550000.00, 1495000.00, NA, NA, NA, NA, 3247500.00, 2897058.82, 2875000.00, 2600000.00, NA, NA, 2507692.31, 4250000.00, NA, NA, NA, NA
94303, Palo Alto, Santa Clara, CA, 332250.00, 238363.89, 295538.89, 310045.82, 406625.00, 466487.50, 506658.33, 464541.67, 525645.83, 604312.50, 650875.00, 741501.68, 987485.59, 814865.41, 722054.17, 1152916.67, 1464512.50, 848010.78, 1107237.50, 775291.86
94301, Palo Alto, Santa Clara, CA, 465429.17, 621724.79, 623788.46, 623687.50, 825000.00, NA, 826346.15, 804492.31, 963383.86, 1114000.00, 1250000.00, NA, 1479512.82, 1410823.32, 1593943.94, 1798184.57, 1855554.14, 2169204.78, 2800000.00, 2505000.00
94621, Oakland, Alameda, CA, 78802.70, 85151.33, 93315.74, 104213.58, 131651.72, 174587.50, 208141.67, 244150.00, 283212.50, 366512.50, 414541.67, 430105.77, NA, 101673.53, 101789.17, 100838.11, NA, 153179.49, 198659.56, 255000.00
94306, Palo Alto, Santa Clara, CA, 377690.84, 403720.63, 428961.54, 532086.44, 646444.23, 706058.82, 616328.67, 722598.86, 767046.13, 711593.44, 841087.78, 859529.41, 1049555.28, 1082231.19, 1127853.66, 1138958.52, 1296388.57, 1567753.03, 1861311.56, 2426470.59
94901, San Rafael, Marin, CA, 352058.31, 359236.41, 381287.50, 422918.15, 516614.69, 570381.42, 595554.17, 631258.33, 683770.83, 795512.50, 827695.83, 855354.17, 792258.84, 666691.25, 663666.29, 622832.74, 624797.33, 724161.72, 835180.39, 783934.65
95304, Tracy, San Joaquin, CA, NA, NA, 273000.00, NA, 314634.01, 495000.00, 434957.91, 524132.10, 585220.03, 667927.94, 710987.65, NA, NA, 395000.00, 280000.00, 324230.77, NA, NA, NA, NA
94903, San Rafael, Marin, CA, 274228.22, 294895.83, 322127.08, 363706.42, 454060.25, 492838.47, 539525.00, 559145.83, 636562.50, 725070.83, 728179.17, 713479.17, 668550.00, 585517.35, 554687.50, 572102.25, 555450.75, 603458.33, 675089.00, 670500.00
94904, Kentfield, Marin, CA, 427905.70, 458818.33, 484510.45, 527006.15, 558475.99, 738670.79, 771600.00, 822176.54, 921904.86, 1143863.22, 1159358.43, 1210266.90, 2125411.76, 975128.21, 1036533.09, 1006407.82, 1099981.62, 1271627.51, 1320029.35, 1615882.35
94518, Concord, Contra Costa, CA, 185447.22, 187125.00, 190983.33, 228000.00, 237340.91, 288110.42, 332406.67, 356208.33, 409958.33, 524895.83, 567708.33, 538068.90, 453839.99, 353962.96, 290813.24, 310536.86, 323021.70, 406503.67, 466576.65, 509455.77
94519, Concord, Contra Costa, CA, 149619.28, 158386.67, 162187.50, 180816.67, 223391.67, 274595.83, 305047.92, 347189.58, 411770.83, 513166.67, 530145.83, 483366.67, 346410.26, 280224.26, 277845.88, 251187.82, 278376.27, 358867.65, 405174.41, 428423.19
94022, Los Altos, Santa Clara, CA, 710985.71, 754286.36, 916765.95, 934639.85, 1651312.50, 1120088.24, 1030867.13, 1221796.15, 1404715.65, 1587930.20, 1472137.47, 1582562.71, 1893063.61, 1381966.91, 1541929.17, 1705656.18, 1866837.50, 2048350.45, 2592035.29, 3006742.65
94517, Clayton, Contra Costa, CA, 252147.22, 273843.75, 306168.75, 346229.17, 395311.17, 443660.42, 466854.17, 539441.67, 600895.83, 737634.21, 763317.12, 661384.80, 643874.81, 534797.06, 545014.48, 487404.41, 468151.96, 583805.88, 656171.42, 656204.37
94515, Calistoga, Napa, CA, 135000.00, NA, NA, NA, NA, NA, NA, NA, 599000.00, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
94513, Brentwood, Contra Costa, CA, 192597.71, 195354.17, 226460.42, 244683.33, 284091.67, 325816.67, 343487.50, 395610.42, 456175.75, 596545.83, 625291.67, 550229.17, 406499.18, 320962.50, 315966.67, 305452.08, 307956.25, 382381.25, 439020.83, 448950.00
94510, Benicia, Solano, CA, 178944.44, 193487.50, 198350.00, 213777.08, 246621.50, 278861.17, 324745.83, 367400.00, 434345.83, 535445.83, 527175.00, 452398.50, 390207.42, 415467.44, 364770.83, 324566.67, 319305.16, 430270.53, 467570.44, 472100.00
94025, Menlo Park, San Mateo, CA, 403944.44, 466891.67, 559900.00, 581875.00, 727666.67, 672441.67, 724829.17, 725954.17, 829108.33, 1010958.33, 1002362.50, 1082491.67, 1220318.18, 1074187.50, 1054458.33, 1012104.17, 1155083.33, 1359344.82, 1564141.67, 1644575.00
94596, Walnut Creek, Contra Costa, CA, 275968.75, 229522.93, 264059.39, 261785.00, 243108.17, 316192.09, 322640.62, 308893.75, 331820.00, 515556.25, 483167.16, 640682.97, 689874.50, 520091.89, 375734.39, 447502.21, 590347.66, 608183.19, 553185.05, 538650.00
95076, Watsonville, Santa Cruz, CA, 177702.78, 187933.33, 189229.17, 212333.33, 275312.50, 338250.00, 364156.25, 394093.75, 491166.67, 627416.67, 635125.00, 596732.91, 382037.82, 287935.81, 293333.33, 652437.50, 274608.33, 337106.25, 407325.75, 430866.94
94595, Walnut Creek, Contra Costa, CA, 229002.78, 230902.08, 285891.67, 316173.98, 383212.50, 386295.83, 395500.00, 416704.17, 455500.00, 583208.33, 609083.33, 551137.50, 470318.43, 439154.17, 404895.83, 383299.24, 407000.00, 490895.83, 555575.00, 570155.00
