ZIP, avg_precipitation, N_avg_precipitation, renter_occupied, N_renter_occupied, earthquake_index, N_earthquake_index, pop_growth_rate, N_pop_growth_rate, avg_temperature, N_avg_temperature, poverty_Rate, N_poverty_Rate, parks, N_parks, crime_index, N_crime_index, female_labor, N_female_labor, coffeeshops, N_coffeeshops, restaurants, N_restaurants
95054, NA, NA, 0.51, 48.90, 31.85, 69.32, 0.14, 95.26, NA, NA, 6.70, 86.71, 10.00, 25.00, 1207.00, 80.10, 0.60, 60.30, 1.00, 2.50, 28.00, 70.00
95055, NA, NA, 0.51, 48.90, 31.85, 69.32, 0.14, 95.26, NA, NA, NA, NA, 8.00, 20.00, 1207.00, 80.10, 0.60, 60.30, 1.00, 2.50, 40.00, 100.00
95056, NA, NA, 0.51, 48.90, 31.85, 69.32, 0.14, 95.26, NA, NA, NA, NA, 7.00, 17.50, 1207.00, 80.10, 0.60, 60.30, 1.00, 2.50, 25.00, 62.50
95050, 14.90, 4.58, 0.51, 48.90, 31.85, 69.32, 0.14, 95.26, 61.49, 85.83, 11.20, 77.78, 22.00, 55.00, 1207.00, 80.10, 0.60, 60.30, 1.00, 2.50, 40.00, 100.00
95051, NA, NA, 0.51, 48.90, 31.85, 69.32, 0.14, 95.26, NA, NA, 6.00, 88.10, 7.00, 17.50, 1207.00, 80.10, 0.60, 60.30, 1.00, 2.50, 40.00, 100.00
95052, 14.90, 4.58, 0.51, 48.90, 31.85, 69.32, 0.14, 95.26, 61.49, 85.83, NA, NA, 31.00, 77.50, 1207.00, 80.10, 0.60, 60.30, 3.00, 7.50, 40.00, 100.00
95053, 14.90, 4.58, 0.51, 48.90, 31.85, 69.32, 0.14, 95.26, 61.49, 85.83, 0.00, 100.00, 9.00, 22.50, 1207.00, 80.10, 0.60, 60.30, 1.00, 2.50, 40.00, 100.00
94974, NA, NA, 0.00, 100.00, 15.62, 86.34, 0.00, 96.30, NA, NA, NA, NA, 2.00, 5.00, 0.00, 100.00, 0.00, 0.00, 0.00, 0.00, 7.00, 17.50
94975, NA, NA, 0.32, 68.40, 16.12, 85.81, 0.06, 95.83, NA, NA, NA, NA, 4.00, 10.00, 1044.00, 82.79, 0.64, 63.70, 0.00, 0.00, 2.00, 5.00
94976, NA, NA, 0.26, 73.90, 15.71, 86.24, 0.02, 96.17, NA, NA, NA, NA, 19.00, 47.50, 0.00, 100.00, 0.65, 65.10, 1.00, 2.50, 40.00, 100.00
94977, NA, NA, 0.50, 49.90, 15.02, 86.97, -0.01, 96.36, NA, NA, NA, NA, 19.00, 47.50, 0.00, 100.00, 0.60, 59.70, 0.00, 0.00, 40.00, 100.00
94509, 13.22, 0.77, 0.33, 67.20, 19.86, 81.89, 0.13, 95.31, 61.50, 85.92, 16.70, 66.87, 1.00, 2.50, 2535.00, 58.21, 0.58, 58.40, 0.00, 0.00, 28.00, 70.00
94508, 39.60, 60.58, 0.47, 53.10, 8.47, 93.84, -0.03, 96.53, 59.25, 61.37, 10.10, 79.96, 0.00, 0.00, 0.00, 100.00, 0.69, 68.70, 0.00, 0.00, 1.00, 2.50
94972, NA, NA, 1.00, 0.00, 7.17, 95.20, 0.71, 90.93, NA, NA, 0.00, 100.00, 0.00, 0.00, 0.00, 100.00, 1.00, 100.00, 0.00, 0.00, 0.00, 0.00
94973, NA, NA, 0.22, 78.40, 9.50, 92.76, -0.03, 96.55, NA, NA, 4.80, 90.48, 2.00, 5.00, 0.00, 100.00, 0.74, 74.30, 0.00, 0.00, 40.00, 100.00
94505, 12.88, 0.00, 0.14, 86.10, 9.33, 92.93, 0.49, 92.62, 62.79, 100.00, 5.00, 90.08, 5.00, 12.50, 0.00, 100.00, 0.67, 66.90, 0.00, 0.00, 18.00, 45.00
94507, NA, NA, 0.10, 90.10, 51.84, 48.36, -0.07, 96.81, NA, NA, 3.10, 93.85, 2.00, 5.00, 0.00, 100.00, 0.44, 43.70, 0.00, 0.00, 4.00, 10.00
94506, 25.04, 27.57, 0.17, 83.50, 60.15, 39.65, 0.01, 96.24, 58.70, 55.40, 2.30, 95.44, 4.00, 10.00, 499.00, 91.77, 0.55, 55.30, 0.00, 0.00, 2.00, 5.00
94501, 20.78, 17.91, 0.48, 51.90, 36.08, 64.89, 0.02, 96.14, 60.32, 73.02, 10.90, 78.37, 15.00, 37.50, 1297.00, 78.62, 0.65, 64.90, 2.00, 5.00, 40.00, 100.00
94979, NA, NA, 0.32, 68.30, 12.85, 89.24, -0.00, 96.33, NA, NA, NA, NA, 18.00, 45.00, 910.00, 85.00, 0.64, 64.20, 1.00, 2.50, 40.00, 100.00
94503, 24.05, 25.32, NA, NA, NA, NA, NA, NA, 58.01, 47.91, 6.20, 87.70, 3.00, 7.50, NA, NA, NA, NA, 0.00, 0.00, 3.00, 7.50
94502, 20.80, 17.94, 0.48, 51.90, 36.08, 64.89, 0.02, 96.14, 58.90, 57.63, 4.20, 91.67, 8.00, 20.00, 1297.00, 78.62, 0.65, 64.90, 1.00, 2.50, 10.00, 25.00
95416, 31.43, 42.05, NA, NA, NA, NA, NA, NA, 58.81, 56.58, NA, NA, 6.00, 15.00, NA, NA, NA, NA, 0.00, 0.00, 40.00, 100.00
95412, NA, NA, 0.00, 100.00, 3.56, 98.98, 0.00, 96.30, NA, NA, 6.10, 87.90, 0.00, 0.00, 0.00, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
95419, 49.63, 83.33, 0.00, 100.00, 6.85, 95.53, 0.00, 96.30, 57.36, 40.78, NA, NA, 1.00, 2.50, 0.00, 100.00, 0.00, 0.00, 0.00, 0.00, 13.00, 32.50
94028, 40.52, 62.67, NA, NA, NA, NA, NA, NA, 55.34, 18.80, 2.40, 95.24, 11.00, 27.50, NA, NA, NA, NA, 0.00, 0.00, 40.00, 100.00
94022, 40.52, 62.67, 0.14, 85.50, 17.52, 84.35, 0.05, 95.95, 55.34, 18.80, 3.80, 92.46, 5.00, 12.50, 464.00, 92.35, 0.49, 48.80, 1.00, 2.50, 30.00, 75.00
