"","zip","type","primary_city","acceptable_cities","unacceptable_cities","state","county","timezone","area_codes","latitude","longitude","world_region","country","decommissioned","estimated_population","notes","STATEFIPS","STATE","AGI_STUB","N1","MARS1","MARS2","MARS4","PREP","N2","NUMDEP","A00100","N00200","A00200","N00300","A00300","N00600","A00600","N00650","A00650","N00900","A00900","SCHF","N01000","A01000","N01400","A01400","N01700","A01700","N02300","A02300","N02500","A02500","N03300","A03300","N00101","A00101","N04470","A04470","N18425","A18425","N18450","A18450","N18500","A18500","N18300","A18300","N19300","A19300","N19700","A19700","N04800","A04800","N07100","A07100","N07220","A07220","N07180","A07180","N07260","A07260","N59660","A59660","N59720","A59720","N11070","A11070","N09600","A09600","N06500","A06500","N10300","A10300","N11901","A11901","N11902","A11902"
"476",94515,"STANDARD","Calistoga","","","CA","Napa County","America/Los_Angeles","707",38.62,-122.61,NA,"US",0,5845,"",6,"CA",3,480,180,260,50,320,1260,530,29292,370,20100,220,270,110,753,100,542,80,1602,40,100,274,70,1132,100,2696,40,277,130,1813,30,579,160,10119,160,3614,110,371,50,57,130,431,160,901,110,1427,130,309,470,17938,200,308,160,252,40,17,20,17,0,0,0,0,40,43,0,0,430,2221,440,2523,150,352,300,798
"477",94515,"STANDARD","Calistoga","","","CA","Napa County","America/Los_Angeles","707",38.62,-122.61,NA,"US",0,5845,"",6,"CA",6,150,30,120,0,140,370,90,108214,100,30954,140,1787,100,3626,100,2638,50,8656,40,110,12468,40,2725,40,2282,0,0,60,1315,20,1012,150,107406,150,21749,140,9516,0,0,140,1753,150,11404,110,2273,140,6349,150,85041,80,445,0,0,0,0,0,0,0,0,0,0,0,0,130,1858,150,23511,150,24450,80,2451,40,915
"478",94515,"STANDARD","Calistoga","","","CA","Napa County","America/Los_Angeles","707",38.62,-122.61,NA,"US",0,5845,"",6,"CA",5,360,70,270,20,270,830,200,47686,260,27056,260,758,170,1703,160,1311,100,3954,20,160,1411,80,2567,120,4545,30,295,110,2173,0,0,280,38153,280,9125,250,1956,30,48,250,1345,280,3432,210,3439,240,1009,350,34590,140,165,50,55,30,14,0,0,0,0,0,0,0,0,0,0,350,5911,350,6518,160,1136,150,798
"479",94515,"STANDARD","Calistoga","","","CA","Napa County","America/Los_Angeles","707",38.62,-122.61,NA,"US",0,5845,"",6,"CA",1,1180,830,160,170,640,1770,590,15401,850,10947,280,383,190,733,160,455,200,1214,0,170,8,70,374,140,1310,120,633,70,173,0,0,110,1520,110,2324,30,65,70,53,80,342,110,516,50,583,80,168,540,3052,140,55,60,22,0,0,0,0,240,451,190,395,210,258,0,0,410,252,540,468,170,118,860,1464
"480",94515,"STANDARD","Calistoga","","","CA","Napa County","America/Los_Angeles","707",38.62,-122.61,NA,"US",0,5845,"",6,"CA",2,890,390,320,170,530,2220,1010,31953,730,24371,240,235,120,478,110,274,150,2034,0,110,-40,60,728,140,2574,110,641,150,962,0,0,150,5590,150,2948,70,142,80,75,120,379,150,639,90,1089,110,318,820,14584,340,291,240,218,0,0,0,0,130,232,110,181,210,317,0,0,630,1492,680,1830,160,291,690,1554
"481",94517,"STANDARD","Clayton","","","CA","Contra Costa County","America/Los_Angeles","925",37.88,-121.84,NA,"US",0,11352,"",6,"CA",5,1780,230,1450,90,1080,4870,1640,252659,1560,187699,1320,1420,780,3343,730,2178,360,9090,0,650,2248,360,11670,520,22224,180,1427,410,8998,50,691,1630,234390,1630,54180,1560,12583,70,202,1530,8293,1630,21725,1430,23656,1500,4392,1780,178185,790,957,280,368,160,83,80,156,0,0,0,0,0,0,80,154,1770,30708,1770,32168,650,2839,1060,5026
"482",94517,"STANDARD","Clayton","","","CA","Contra Costa County","America/Los_Angeles","925",37.88,-121.84,NA,"US",0,11352,"",6,"CA",4,620,170,380,50,380,1400,400,53851,460,33596,420,562,250,1145,240,812,140,3149,0,220,365,150,3113,220,7541,60,538,200,3864,0,0,450,39821,450,11071,370,1624,70,143,410,1896,450,3811,370,4777,390,1033,610,35653,260,360,150,237,30,15,0,0,0,0,0,0,0,0,0,0,600,4974,610,5445,200,631,380,1251
"483",94517,"STANDARD","Clayton","","","CA","Contra Costa County","America/Los_Angeles","925",37.88,-121.84,NA,"US",0,11352,"",6,"CA",3,630,330,230,60,400,1120,260,39106,440,22740,370,498,230,892,200,532,100,1840,0,190,94,150,2995,210,5658,60,503,200,3171,30,260,390,24447,390,8415,260,816,120,157,340,1400,390,2468,280,3135,320,687,620,24466,190,221,100,146,0,0,30,46,0,0,0,0,30,31,0,0,590,3337,610,3660,190,476,390,976
"484",94517,"STANDARD","Clayton","","","CA","Contra Costa County","America/Los_Angeles","925",37.88,-121.84,NA,"US",0,11352,"",6,"CA",1,1390,1160,150,70,630,1260,190,14517,960,10157,420,338,280,502,250,268,170,1292,30,240,21,120,939,220,2021,90,647,90,210,0,0,200,2697,200,4313,40,66,150,114,160,695,200,923,130,1403,140,184,640,3607,140,46,0,0,0,0,0,0,180,263,150,215,70,68,0,0,550,327,670,521,170,136,1000,1058
"485",94517,"STANDARD","Clayton","","","CA","Contra Costa County","America/Los_Angeles","925",37.88,-121.84,NA,"US",0,11352,"",6,"CA",6,840,60,760,0,540,2520,930,292199,770,198784,690,2052,520,4610,490,3747,170,16914,0,460,10787,110,6773,210,10159,60,350,110,2298,60,1853,830,290712,830,53247,820,20718,0,0,800,5755,830,26974,730,15638,790,4813,840,229327,310,527,0,0,80,43,40,73,0,0,0,0,0,0,610,3758,840,59983,840,61702,410,7175,340,2208
"486",94517,"STANDARD","Clayton","","","CA","Contra Costa County","America/Los_Angeles","925",37.88,-121.84,NA,"US",0,11352,"",6,"CA",2,800,500,220,70,450,1270,250,29545,540,17834,350,492,230,922,210,495,140,2685,0,200,53,140,1757,220,4200,70,578,230,1579,0,0,290,10975,290,6219,130,269,150,164,240,1006,290,1518,190,2254,230,544,730,15324,220,159,100,81,40,22,0,0,70,125,50,97,60,86,0,0,660,1728,700,2120,180,329,570,1216
"487",94518,"STANDARD","Concord","","","CA","Contra Costa County","America/Los_Angeles","925,510",37.95,-122.02,NA,"US",0,21464,"",6,"CA",4,1330,460,760,100,710,2870,780,115959,1120,82216,800,693,440,1837,400,1230,240,4402,0,370,816,280,5753,380,12241,140,923,340,6340,20,173,910,79954,910,20273,780,3801,120,211,750,2541,910,6799,680,8551,730,1928,1320,80343,500,662,270,426,60,35,30,16,0,0,0,0,0,0,0,0,1310,11829,1320,12539,400,1162,880,2782
"488",94518,"STANDARD","Concord","","","CA","Contra Costa County","America/Los_Angeles","925,510",37.95,-122.02,NA,"US",0,21464,"",6,"CA",2,2800,1590,720,420,1420,5310,1800,102802,2320,78440,850,627,470,1186,420,772,410,6026,0,360,251,290,3368,490,8625,300,2246,460,3310,40,324,710,27381,710,13559,370,694,300,313,550,1644,700,2794,490,5525,520,988,2620,54342,940,757,520,477,90,42,30,5,360,636,270,457,400,639,0,0,2260,6057,2400,6995,560,920,2170,4495
"489",94518,"STANDARD","Concord","","","CA","Contra Costa County","America/Los_Angeles","925,510",37.95,-122.02,NA,"US",0,21464,"",6,"CA",3,1860,900,720,210,980,3690,1120,114999,1550,87132,890,696,460,1660,410,1000,290,4238,0,380,438,250,3362,460,11519,170,1315,370,5499,0,0,840,52713,840,16837,650,2151,170,289,700,2142,840,4691,620,6715,660,1284,1840,75379,690,857,420,625,90,43,40,14,0,0,0,0,80,99,0,0,1770,10248,1790,10983,490,1171,1300,3533
"490",94518,"STANDARD","Concord","","","CA","Contra Costa County","America/Los_Angeles","925,510",37.95,-122.02,NA,"US",0,21464,"",6,"CA",5,2310,400,1780,130,1280,5990,1910,316777,2070,244719,1680,1683,970,3596,890,2639,430,11532,0,800,3065,370,10513,590,25808,240,1807,440,8833,50,853,2000,279353,2000,58477,1920,15907,80,210,1780,7181,2000,23992,1660,24065,1760,5213,2300,231900,970,1191,400,521,240,137,110,112,0,0,0,0,0,0,110,248,2300,40586,2300,42274,840,3484,1370,5982
"491",94518,"STANDARD","Concord","","","CA","Contra Costa County","America/Los_Angeles","925,510",37.95,-122.02,NA,"US",0,21464,"",6,"CA",1,4080,3030,510,470,2040,5390,1450,49415,2890,34706,890,683,510,1103,450,671,720,5871,0,420,-129,290,1787,520,4710,350,2377,170,298,0,0,440,6054,440,7187,100,120,280,183,310,931,430,1296,270,2652,290,383,1870,11618,480,171,100,35,0,0,0,0,990,1809,800,1509,540,692,0,0,1550,1037,2100,1897,620,494,3030,4520
"492",94518,"STANDARD","Concord","","","CA","Contra Costa County","America/Los_Angeles","925,510",37.95,-122.02,NA,"US",0,21464,"",6,"CA",6,590,60,510,0,330,1690,580,193382,530,128767,490,1386,320,3860,300,3198,120,4605,0,310,15309,110,7424,160,8778,40,226,100,2365,30,879,580,189561,580,33126,560,13799,0,0,540,3694,580,17847,470,9302,520,3531,590,153725,220,225,0,0,70,34,30,20,0,0,0,0,0,0,400,2433,590,37879,590,38828,320,5353,220,1280
"493",94519,"STANDARD","Concord","","","CA","Contra Costa County","America/Los_Angeles","510,925",37.99,-122,NA,"US",0,14804,"",6,"CA",2,1920,1050,520,320,980,3650,1220,70688,1570,53897,640,385,270,542,230,387,250,3922,0,60,2,180,1622,380,7070,230,1710,330,2069,0,0,490,18556,490,8436,250,414,220,250,410,1090,490,1907,360,3499,370,618,1840,37317,630,569,390,372,70,42,0,0,290,473,220,361,270,402,0,0,1590,4102,1660,4702,370,600,1500,3196
"494",94519,"STANDARD","Concord","","","CA","Contra Costa County","America/Los_Angeles","510,925",37.99,-122,NA,"US",0,14804,"",6,"CA",5,1400,230,1100,70,760,3710,1200,185121,1280,149908,1000,577,470,2001,430,1537,200,4102,0,370,1490,190,5144,330,13486,170,1192,220,4205,40,451,1180,157240,1180,33233,1140,8778,30,97,1070,3573,1180,12836,1000,14244,1010,2935,1400,135108,570,688,300,400,160,92,50,17,0,0,0,0,0,0,40,87,1400,23036,1400,23803,470,1936,910,3513
"495",94519,"STANDARD","Concord","","","CA","Contra Costa County","America/Los_Angeles","510,925",37.99,-122,NA,"US",0,14804,"",6,"CA",1,2790,2040,370,350,1340,3860,1080,35204,2050,24293,530,298,270,505,240,294,500,4041,0,190,-115,170,1144,350,3399,310,2200,140,222,0,0,300,4419,300,4846,70,103,200,141,220,561,300,882,200,1797,180,264,1310,8120,330,119,90,31,0,0,0,0,790,1496,640,1254,440,550,0,0,1090,743,1450,1304,400,328,2150,3359
"496",94519,"STANDARD","Concord","","","CA","Contra Costa County","America/Los_Angeles","510,925",37.99,-122,NA,"US",0,14804,"",6,"CA",4,1060,340,640,70,590,2460,750,92065,930,72074,660,363,300,788,270,517,160,1931,0,220,147,140,2746,260,8010,130,892,210,4023,0,0,760,66363,760,16709,690,2983,70,166,670,1987,760,5340,620,7520,640,1356,1060,62732,450,668,310,489,80,43,30,18,0,0,0,0,0,0,0,0,1050,9030,1050,9391,290,750,750,2389
"497",94519,"STANDARD","Concord","","","CA","Contra Costa County","America/Los_Angeles","510,925",37.99,-122,NA,"US",0,14804,"",6,"CA",3,1450,630,620,180,810,3060,990,89749,1230,68815,750,560,310,1045,270,714,210,3060,0,240,232,190,2605,330,8822,160,1197,270,3840,0,0,750,47395,750,14399,610,1717,130,197,670,1892,750,3971,610,6402,590,1261,1440,57418,570,752,370,543,70,36,40,7,0,0,0,0,60,80,0,0,1390,7534,1400,8048,370,771,1040,2757
"498",94519,"STANDARD","Concord","","","CA","Contra Costa County","America/Los_Angeles","510,925",37.99,-122,NA,"US",0,14804,"",6,"CA",6,170,20,140,0,100,420,110,48132,150,29164,140,445,90,1047,80,599,30,1444,0,80,3022,30,1667,40,2179,0,0,30,562,0,0,160,47554,160,7607,160,3020,0,0,150,681,160,3788,130,2400,140,484,170,38917,40,53,0,0,0,0,0,0,0,0,0,0,0,0,100,489,170,8893,170,9065,90,1864,60,425
"499",94520,"STANDARD","Concord","","Clyde","CA","Contra Costa County","America/Los_Angeles","510,925,707,415,209",38,-122.03,NA,"US",0,26131,"",6,"CA",5,980,230,680,60,530,2440,780,125702,920,106149,590,316,250,794,230,583,170,6794,0,210,834,110,3569,200,7093,120,772,140,2508,0,0,800,103599,800,20070,760,5874,30,91,630,1821,800,8074,600,7795,670,2026,980,94208,360,466,200,275,100,56,20,27,0,0,0,0,0,0,70,108,980,16552,980,17120,330,1564,640,2357
"500",94520,"STANDARD","Concord","","Clyde","CA","Contra Costa County","America/Los_Angeles","510,925,707,415,209",38,-122.03,NA,"US",0,26131,"",6,"CA",6,110,30,80,0,80,260,70,51089,90,19706,90,1801,50,1207,50,1029,0,0,0,60,8319,0,0,30,1820,0,0,0,0,0,0,100,49065,100,11097,100,4311,0,0,80,548,100,4963,70,1423,90,911,110,38939,40,44,0,0,0,0,0,0,0,0,0,0,0,0,60,870,110,9984,110,10244,50,1746,40,198
"501",94520,"STANDARD","Concord","","Clyde","CA","Contra Costa County","America/Los_Angeles","510,925,707,415,209",38,-122.03,NA,"US",0,26131,"",6,"CA",2,4780,2040,1520,1160,3020,12520,6240,171174,4330,148007,930,497,280,614,250,426,510,6883,0,210,140,180,1736,460,8186,450,3438,390,2313,30,422,870,33059,870,14104,480,800,360,623,580,1334,870,2922,560,5638,630,976,4330,78165,2050,1693,1490,1275,130,68,30,7,770,1393,610,1114,1480,2745,0,0,3160,7998,3360,9075,710,1027,4020,9895
"502",94520,"STANDARD","Concord","","Clyde","CA","Contra Costa County","America/Los_Angeles","510,925,707,415,209",38,-122.03,NA,"US",0,26131,"",6,"CA",3,2130,870,940,300,1210,5060,1990,129946,1940,109683,790,368,290,726,260,435,250,3164,0,190,146,140,2005,390,8659,220,1500,270,3758,0,0,910,56449,910,15749,750,2169,140,413,700,1701,910,4522,690,6915,690,1208,2120,83762,860,1273,650,1012,90,53,50,12,0,0,0,0,150,226,0,0,1980,10918,1990,11428,490,1143,1610,4159
"503",94520,"STANDARD","Concord","","Clyde","CA","Contra Costa County","America/Los_Angeles","510,925,707,415,209",38,-122.03,NA,"US",0,26131,"",6,"CA",1,7250,4160,1120,1900,4460,14580,6680,98225,5730,76375,750,359,310,626,260,369,1330,10897,0,270,-134,210,1296,500,4746,600,4316,150,249,0,0,390,6071,390,5806,90,78,250,244,220,479,390,871,220,2008,240,289,2900,16580,880,283,430,127,40,13,0,0,2110,4865,1820,4224,2570,3670,0,0,2230,1469,3220,2927,950,620,5920,11490
"504",94520,"STANDARD","Concord","","Clyde","CA","Contra Costa County","America/Los_Angeles","510,925,707,415,209",38,-122.03,NA,"US",0,26131,"",6,"CA",4,1070,340,610,110,570,2530,840,92356,990,77144,560,370,230,632,210,462,160,2227,0,150,265,100,1487,240,6788,130,817,140,2442,0,0,670,58053,670,13834,610,2713,50,161,520,1339,670,4414,500,5720,520,1114,1070,64740,440,670,310,470,60,36,0,0,0,0,0,0,0,0,0,0,1070,9501,1070,9936,300,843,750,2416
"505",94521,"STANDARD","Concord","","","CA","Contra Costa County","America/Los_Angeles","925,510",37.97,-121.96,NA,"US",0,34763,"",6,"CA",1,5690,4420,650,540,2650,6760,1590,67754,4130,46990,1300,886,700,1367,620,782,920,7237,0,540,-115,410,2753,720,6783,490,3638,270,488,30,154,660,9407,660,11285,150,256,430,320,500,1379,640,2064,430,4069,420,488,2700,16471,660,232,120,41,20,7,0,0,1320,2505,1070,2094,640,776,0,0,2270,1507,2960,2585,810,587,4280,6055
"506",94521,"STANDARD","Concord","","","CA","Contra Costa County","America/Los_Angeles","925,510",37.97,-121.96,NA,"US",0,34763,"",6,"CA",4,2230,650,1330,210,1280,5180,1620,194270,1870,141434,1380,1040,680,2521,620,1623,400,8088,0,540,961,370,7740,640,20188,240,1722,530,9962,20,238,1570,137732,1570,35634,1380,6189,160,481,1360,4458,1570,11599,1250,15138,1300,2961,2220,131894,950,1368,610,963,150,85,50,34,0,0,0,0,20,19,0,0,2190,18883,2200,20136,690,1977,1450,4584
"507",94521,"STANDARD","Concord","","","CA","Contra Costa County","America/Los_Angeles","925,510",37.97,-121.96,NA,"US",0,34763,"",6,"CA",6,990,70,900,20,580,2910,1030,293025,930,219508,840,1266,570,3857,540,3112,170,8892,0,510,12052,160,8877,260,12389,80,513,110,2563,50,1238,980,289156,980,51408,960,20653,0,0,920,5117,980,26370,850,17031,900,5156,990,230440,320,231,0,0,120,61,20,25,0,0,0,0,0,0,680,3903,990,56839,990,58418,520,6451,410,2493
"508",94521,"STANDARD","Concord","","","CA","Contra Costa County","America/Los_Angeles","925,510",37.97,-121.96,NA,"US",0,34763,"",6,"CA",5,4260,620,3400,210,2410,11510,3860,583456,3870,463149,3120,2761,1630,6029,1500,4314,770,16595,0,1290,3272,650,18502,1060,43955,450,3603,770,16173,70,1077,3760,521580,3760,112870,3600,29203,130,420,3410,13663,3750,44592,3180,47863,3320,10277,4260,420998,1860,2287,810,1013,420,236,150,189,0,0,0,0,0,0,170,368,4250,72619,4260,75301,1440,6044,2670,10971
"509",94521,"STANDARD","Concord","","","CA","Contra Costa County","America/Los_Angeles","925,510",37.97,-121.96,NA,"US",0,34763,"",6,"CA",2,3870,2260,960,590,1950,6870,2060,142639,3120,105180,1290,766,690,1632,600,1015,600,9191,20,480,245,410,4674,770,14249,450,3456,690,4758,0,0,1120,43165,1120,19738,600,1043,460,478,920,2553,1120,4347,820,8368,870,1489,3670,76535,1300,1092,670,646,120,66,40,10,550,928,400,661,470,651,0,0,3210,8524,3410,9948,800,1285,2980,6173
"510",94521,"STANDARD","Concord","","","CA","Contra Costa County","America/Los_Angeles","925,510",37.97,-121.96,NA,"US",0,34763,"",6,"CA",3,2920,1310,1190,380,1590,5880,1770,181431,2400,131413,1490,1093,770,2632,690,1757,470,7553,0,580,301,420,6530,740,19543,320,2577,660,9787,20,123,1560,98251,1560,31009,1220,3482,310,478,1350,4108,1550,8481,1250,13710,1260,2559,2900,116038,1090,1432,680,996,150,77,60,37,0,0,0,0,90,124,0,0,2800,15359,2840,16734,840,2061,2010,5149
"511",94523,"STANDARD","Pleasant Hill","Concord","","CA","Contra Costa County","America/Los_Angeles","925,707",37.95,-122.07,NA,"US",0,27947,"",6,"CA",1,4380,3580,450,300,1940,4690,800,51064,3000,33581,1180,898,820,1633,730,907,760,6490,0,660,-196,370,2394,620,5648,330,2371,250,466,0,0,560,7951,560,10556,110,204,400,270,400,1315,550,1909,330,3344,350,377,2120,13039,490,166,70,23,0,0,0,0,900,1340,710,1069,310,358,0,0,1810,1187,2320,2131,690,566,3130,3752
"512",94523,"STANDARD","Pleasant Hill","Concord","","CA","Contra Costa County","America/Los_Angeles","925,707",37.95,-122.07,NA,"US",0,27947,"",6,"CA",6,1240,150,1070,20,760,3580,1260,397193,1140,277078,1040,2664,770,8890,740,7189,260,16849,0,730,30125,170,11649,260,14419,80,532,140,3037,80,2060,1230,393312,1230,66467,1200,27637,20,66,1130,6781,1230,35039,1020,20022,1130,6014,1240,317015,500,642,0,0,150,78,50,84,0,0,0,0,0,0,910,5420,1240,78026,1240,80199,630,9854,510,3299
"513",94523,"STANDARD","Pleasant Hill","Concord","","CA","Contra Costa County","America/Los_Angeles","925,707",37.95,-122.07,NA,"US",0,27947,"",6,"CA",4,1910,740,960,170,1050,4040,1180,166190,1600,123088,1140,1012,670,2785,610,1734,380,7972,0,580,1141,280,5911,490,15838,190,1457,390,7135,30,480,1320,115334,1320,29852,1190,5610,120,261,1070,4181,1320,10407,980,11690,1070,2463,1900,114920,780,1141,470,713,120,68,40,62,0,0,0,0,0,0,0,0,1870,17106,1890,18453,560,1732,1260,4142
"514",94523,"STANDARD","Pleasant Hill","Concord","","CA","Contra Costa County","America/Los_Angeles","925,707",37.95,-122.07,NA,"US",0,27947,"",6,"CA",5,3770,800,2760,190,2120,9700,3170,525834,3400,413880,2700,2230,1670,7292,1550,5387,810,20529,0,1420,5019,550,14737,890,39561,350,2439,600,11879,100,1553,3250,460509,3250,97246,3140,26788,100,283,2830,13050,3250,41205,2620,39300,2810,7385,3770,385887,1650,1873,650,770,420,231,140,186,0,0,0,0,0,0,210,440,3760,68618,3760,71634,1360,6209,2230,9319
"515",94523,"STANDARD","Pleasant Hill","Concord","","CA","Contra Costa County","America/Los_Angeles","925,707",37.95,-122.07,NA,"US",0,27947,"",6,"CA",3,2440,1330,820,250,1300,4330,1070,151807,1940,106752,1250,1247,730,3147,670,2173,410,9333,0,610,821,360,5145,630,16857,230,1658,550,7789,40,280,1130,71412,1130,23601,850,2630,260,357,930,3346,1130,6619,810,9155,930,1919,2420,101152,800,897,420,587,90,44,30,31,0,0,0,0,70,93,0,0,2350,14098,2380,15530,760,1850,1590,3839
"516",94523,"STANDARD","Pleasant Hill","Concord","","CA","Contra Costa County","America/Los_Angeles","925,707",37.95,-122.07,NA,"US",0,27947,"",6,"CA",2,2920,1860,660,350,1430,4710,1140,108844,2230,76734,1070,1118,630,2348,560,1351,510,9188,20,510,407,320,3661,610,11131,300,2707,590,4181,40,223,800,30418,800,16189,410,833,360,339,640,2278,800,3608,540,5826,590,1006,2760,60143,870,703,370,351,100,53,20,7,280,470,200,320,260,328,0,0,2470,6833,2600,8196,680,1168,2100,4395
"517",94525,"STANDARD","Crockett","","","CA","Contra Costa County","America/Los_Angeles","510",38.04,-122.23,NA,"US",0,2510,"",6,"CA",1,540,450,30,50,230,630,120,6884,380,4506,120,47,70,132,60,78,100,653,0,60,-39,40,243,90,928,60,435,30,38,0,0,50,763,50,915,0,0,40,32,40,99,50,145,30,210,40,55,290,1860,60,22,0,0,0,0,0,0,140,213,110,184,50,45,0,0,250,172,310,268,80,71,420,542
"518",94525,"STANDARD","Crockett","","","CA","Contra Costa County","America/Los_Angeles","510",38.04,-122.23,NA,"US",0,2510,"",6,"CA",4,200,80,110,0,120,400,90,17474,160,12407,120,66,60,255,60,181,40,697,0,50,72,30,717,60,2260,0,0,50,852,0,0,140,12030,140,2931,130,587,0,0,110,345,140,994,100,1051,110,238,200,12379,70,74,30,46,0,0,0,0,0,0,0,0,0,0,0,0,200,1888,200,1984,60,183,130,397
"519",94525,"STANDARD","Crockett","","","CA","Contra Costa County","America/Los_Angeles","510",38.04,-122.23,NA,"US",0,2510,"",6,"CA",5,260,60,200,0,170,600,140,34735,220,25970,180,260,90,318,100,380,50,1171,0,70,68,50,1788,110,5255,20,205,70,1455,0,0,220,29531,220,6162,210,1710,0,0,190,709,220,2562,180,2544,180,398,260,25826,80,78,30,35,0,0,0,0,0,0,0,0,0,0,0,0,260,4582,260,4737,100,495,160,873
"520",94525,"STANDARD","Crockett","","","CA","Contra Costa County","America/Los_Angeles","510",38.04,-122.23,NA,"US",0,2510,"",6,"CA",2,370,230,70,60,180,570,140,13948,290,10382,110,73,50,233,50,180,50,702,0,0,0,30,281,80,1573,40,355,60,424,0,0,90,3673,90,1648,60,94,40,35,70,205,90,369,60,631,70,143,360,8139,100,88,60,51,0,0,0,0,30,46,20,40,30,27,0,0,330,939,340,1063,90,150,270,465
"521",94525,"STANDARD","Crockett","","","CA","Contra Costa County","America/Los_Angeles","510",38.04,-122.23,NA,"US",0,2510,"",6,"CA",3,280,140,90,60,150,480,110,17272,230,12951,120,113,60,219,50,139,50,403,0,30,4,30,431,80,2232,40,319,50,749,0,0,130,7811,130,2164,100,356,40,69,100,296,130,717,90,890,90,151,280,11963,90,87,50,64,50,24,0,0,0,0,0,0,0,0,0,0,280,1700,280,1786,80,198,200,478
"522",94525,"STANDARD","Crockett","","","CA","Contra Costa County","America/Los_Angeles","510",38.04,-122.23,NA,"US",0,2510,"",6,"CA",6,40,0,40,0,30,100,20,12198,40,6771,40,31,20,241,0,0,0,0,0,20,328,0,0,0,0,0,0,0,0,0,0,40,11998,40,1895,40,731,0,0,40,195,40,942,30,489,40,122,40,9908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,145,40,2244,40,2319,30,277,0,0
"523",94526,"STANDARD","Danville","","","CA","Contra Costa County","America/Los_Angeles","925,510",37.81,-121.97,NA,"US",0,28860,"",6,"CA",6,3580,240,3230,80,2510,11600,4800,1719589,3270,1081301,3110,18465,2500,44791,2370,35051,870,64990,40,2460,191521,550,29867,680,35047,220,1817,420,10147,340,9860,3570,1717380,3570,295249,3520,138353,40,151,3360,32587,3570,173868,3080,76433,3360,30110,3570,1379475,1600,5118,0,0,360,193,170,376,0,0,0,0,0,0,2950,27890,3570,373451,3570,382007,1840,42332,1300,13381
"524",94526,"STANDARD","Danville","","","CA","Contra Costa County","America/Los_Angeles","925,510",37.81,-121.97,NA,"US",0,28860,"",6,"CA",5,3820,680,2860,250,2410,10070,3390,553834,3130,374602,2840,4537,2080,14436,1960,10322,940,32993,0,1910,7468,930,31132,1140,49189,290,2368,1020,22760,170,2737,3480,509843,3480,123993,3260,28502,180,456,3100,20171,3480,50578,2780,49853,3200,9908,3810,388138,1680,1759,490,606,250,145,130,196,0,0,0,0,0,0,340,893,3780,68589,3790,73361,1420,8292,2080,10750
"525",94526,"STANDARD","Danville","","","CA","Contra Costa County","America/Los_Angeles","925,510",37.81,-121.97,NA,"US",0,28860,"",6,"CA",1,3450,3010,280,130,1650,2770,380,34077,2280,21181,1080,1067,1030,2318,950,1293,530,4490,0,810,-433,300,2278,430,3598,180,1601,180,376,30,226,510,6749,510,10674,110,319,330,231,350,1579,490,2211,250,2975,330,442,1630,8756,390,130,30,12,0,0,0,0,410,551,300,383,150,165,0,0,1310,769,1680,1437,580,475,2280,2188
"526",94526,"STANDARD","Danville","","","CA","Contra Costa County","America/Los_Angeles","925,510",37.81,-121.97,NA,"US",0,28860,"",6,"CA",4,1480,570,750,130,950,3010,780,129035,1040,72961,1010,1715,740,4930,690,3203,370,9947,0,660,1641,410,9316,530,17104,130,1156,520,10345,40,750,1140,99872,1140,30980,920,4422,200,409,960,5336,1140,10554,810,11944,990,2740,1460,83600,590,680,270,394,40,21,40,47,0,0,0,0,40,61,0,0,1410,12221,1440,13705,500,1815,850,3364
"527",94526,"STANDARD","Danville","","","CA","Contra Costa County","America/Los_Angeles","925,510",37.81,-121.97,NA,"US",0,28860,"",6,"CA",2,1740,1160,390,150,950,2680,570,65157,1130,37280,830,1237,620,2653,570,1576,340,7146,0,550,903,340,4744,450,7656,140,1325,520,4106,0,0,660,25751,660,16545,280,666,350,361,530,2701,660,3884,400,5654,520,1115,1570,33899,470,346,140,145,30,20,0,0,110,179,70,101,120,163,0,0,1420,3809,1520,4862,470,992,1130,2347
"528",94526,"STANDARD","Danville","","","CA","Contra Costa County","America/Los_Angeles","925,510",37.81,-121.97,NA,"US",0,28860,"",6,"CA",3,1540,870,480,160,930,2640,640,95615,1030,53842,900,1822,700,4759,660,3017,310,6542,0,620,1818,380,6778,480,11808,110,1035,530,8236,20,230,890,56217,890,22586,580,2003,290,380,750,3836,890,6436,600,8035,740,1717,1480,59249,510,503,220,293,40,23,50,28,0,0,0,0,70,85,0,0,1400,8047,1440,9115,500,1400,900,2594
"529",94530,"STANDARD","El Cerrito","","","CA","Contra Costa County","America/Los_Angeles","510",37.91,-122.3,NA,"US",0,21140,"",6,"CA",1,3390,2640,450,270,1590,4220,780,40517,2150,25847,900,805,630,1606,540,959,830,6623,0,530,-232,280,1672,480,4387,220,1604,170,259,0,0,430,5936,430,7222,100,240,270,174,300,1139,410,1597,210,2018,260,340,1550,9645,430,156,60,19,0,0,20,5,910,1302,670,990,300,363,0,0,1260,852,1830,1774,650,514,2230,3191
