"","zip","type","primary_city","acceptable_cities","unacceptable_cities","state","county","timezone","area_codes","latitude","longitude","world_region","country","decommissioned","estimated_population","notes","STATEFIPS","STATE","AGI_STUB","N1","MARS1","MARS2","MARS4","PREP","N2","NUMDEP","A00100","N00200","A00200","N00300","A00300","N00600","A00600","N00650","A00650","N00900","A00900","SCHF","N01000","A01000","N01400","A01400","N01700","A01700","N02300","A02300","N02500","A02500","N03300","A03300","N00101","A00101","N04470","A04470","N18425","A18425","N18450","A18450","N18500","A18500","N18300","A18300","N19300","A19300","N19700","A19700","N04800","A04800","N07100","A07100","N07220","A07220","N07180","A07180","N07260","A07260","N59660","A59660","N59720","A59720","N11070","A11070","N09600","A09600","N06500","A06500","N10300","A10300","N11901","A11901","N11902","A11902"
"1663",95366,"STANDARD","Ripon","","","CA","San Joaquin County","America/Los_Angeles","209",37.75,-121.12,NA,"US",0,13598,"",6,"CA",1,2310,1670,340,270,1240,3010,900,27281,1740,19265,490,508,260,538,230,265,270,2089,30,210,-34,150,913,330,3210,260,1490,130,239,0,0,250,3606,250,4565,50,46,170,115,180,417,240,646,150,1326,180,391,1030,5544,240,75,60,19,0,0,0,0,580,1280,500,1156,360,426,0,0,870,509,1090,833,270,188,1830,2872
"1664",95366,"STANDARD","Ripon","","","CA","San Joaquin County","America/Los_Angeles","209",37.75,-121.12,NA,"US",0,13598,"",6,"CA",3,1060,290,610,140,710,2690,1010,65746,870,47670,550,726,210,721,190,409,180,2577,30,180,671,140,1780,260,7218,140,952,240,3261,0,0,540,34035,540,11293,400,1074,140,241,480,1245,540,2709,420,4406,460,1584,1050,39248,500,761,380,604,60,25,30,34,0,0,0,0,90,134,0,0,970,4583,1000,5110,300,689,720,1969
"1665",95366,"STANDARD","Ripon","","","CA","San Joaquin County","America/Los_Angeles","209",37.75,-121.12,NA,"US",0,13598,"",6,"CA",2,1390,590,520,250,830,2990,1090,51136,1090,36080,530,671,220,666,200,364,200,3236,30,170,236,160,1684,300,5195,200,1538,300,2006,0,0,390,14913,390,6809,210,356,170,172,320,812,390,1448,260,2445,310,824,1300,24727,530,460,340,324,50,22,0,0,280,503,210,380,270,434,0,0,1050,2536,1130,3078,300,516,1030,2510
"1666",95366,"STANDARD","Ripon","","","CA","San Joaquin County","America/Los_Angeles","209",37.75,-121.12,NA,"US",0,13598,"",6,"CA",6,380,40,330,0,310,1140,430,180581,340,80863,340,2459,200,6646,190,6040,70,2117,40,190,19193,50,2563,80,3588,0,0,60,1457,0,0,380,179931,380,31140,360,15064,0,0,340,1794,380,17041,300,5585,360,6825,380,145103,120,214,0,0,30,18,0,0,0,0,0,0,0,0,250,2120,380,38370,380,39063,190,10885,150,1377
"1667",95366,"STANDARD","Ripon","","","CA","San Joaquin County","America/Los_Angeles","209",37.75,-121.12,NA,"US",0,13598,"",6,"CA",5,1380,80,1230,80,930,4390,1770,189299,1270,151617,1030,1621,380,1599,330,1056,240,5521,50,350,2133,160,3879,290,12323,160,1066,180,3415,60,909,1260,174010,1260,38524,1200,8903,60,212,1160,3994,1260,13657,1090,14652,1170,5487,1380,132629,680,947,370,493,160,82,50,103,0,0,0,0,0,0,60,150,1370,21772,1380,22931,500,2558,850,3391
"1668",95366,"STANDARD","Ripon","","","CA","San Joaquin County","America/Los_Angeles","209",37.75,-121.12,NA,"US",0,13598,"",6,"CA",4,800,120,590,80,530,2280,890,69106,710,54405,490,442,170,349,150,207,130,1894,30,140,387,100,1385,200,5969,100,588,140,2784,0,0,580,50251,580,12786,520,2043,50,116,490,1367,570,3718,460,5151,500,1730,800,45181,420,798,330,609,70,38,0,0,0,0,0,0,0,0,0,0,780,5772,790,6194,210,659,560,1762
"1669",95376,"STANDARD","Tracy","","","CA","San Joaquin County","America/Los_Angeles","209,510",37.73,-121.42,NA,"US",0,38068,"",6,"CA",6,290,20,250,0,200,830,290,89830,270,58077,240,675,130,687,120,554,40,2416,0,130,4237,40,1836,80,5071,20,206,40,663,0,0,280,87423,280,15115,280,5807,0,0,270,1000,280,6934,250,4400,260,1959,290,71488,60,130,0,0,0,0,0,0,0,0,0,0,0,0,170,919,290,16622,290,17010,170,2864,110,781
"1670",95376,"STANDARD","Tracy","","","CA","San Joaquin County","America/Los_Angeles","209,510",37.73,-121.42,NA,"US",0,38068,"",6,"CA",2,5320,2110,1840,1280,3460,13600,6450,193609,4750,161186,1300,332,350,433,300,288,650,7802,0,240,-125,250,2513,740,12396,790,5634,540,3298,0,0,1240,47874,1240,19909,790,1228,420,487,1030,2276,1230,4345,1010,8972,910,1535,4950,88301,2420,2205,1800,1657,200,113,30,7,1330,2382,1090,1961,1510,2515,0,0,3660,8605,3960,10012,810,1382,4470,12143
"1671",95376,"STANDARD","Tracy","","","CA","San Joaquin County","America/Los_Angeles","209,510",37.73,-121.42,NA,"US",0,38068,"",6,"CA",5,2460,240,2080,140,1500,7430,2890,321761,2340,274007,1600,800,640,1365,580,1110,360,5828,0,510,1705,240,5835,610,21956,280,2087,310,5559,50,1230,2120,281988,2120,59584,2040,15072,70,301,1930,5644,2120,22043,1870,24861,1860,5663,2460,230153,1100,1695,670,946,200,118,90,155,0,0,0,0,0,0,100,160,2450,38029,2450,39204,840,3354,1600,6323
"1672",95376,"STANDARD","Tracy","","","CA","San Joaquin County","America/Los_Angeles","209,510",37.73,-121.42,NA,"US",0,38068,"",6,"CA",1,7950,5200,1170,1490,4800,13310,5330,101097,6410,76896,990,469,360,522,320,301,1090,9233,0,300,-156,230,1518,760,6972,1060,6646,220,339,0,0,540,8067,540,8599,140,154,340,218,410,906,530,1381,380,3848,330,444,3360,19291,980,325,390,115,40,13,0,0,2690,6703,2460,5941,2080,2704,0,0,2640,1718,3520,3016,720,476,6780,13334
