Zip Code,Median List Price,Median Sale Price,Median Single Family Home Value,Median 2-Bedroom Home Value,Median 3-Bedroom Home Value,Median 4-Bedroom Home Value,Median Condo Value,Median List Price Per Sq Ft,forsale
94515,0,0,595600,529500,622500,0,0,420,http://www.zillow.com/calistoga-ca-94515/
95448,0,460700,631300,520900,629100,763800,423100,430,http://www.zillow.com/calistoga-ca-95448/
95431,0,0,0,0,0,0,0,0,http://www.zillow.com/glen-ellen-ca-95431/
95444,0,0,0,0,0,0,0,0,http://www.zillow.com/graton-ca-95444/
95441,899000,0,0,0,0,0,0,0,http://www.zillow.com/geyserville-ca-95441/
94027,0,4250000,5356200,2530000,4052100,5063700,0,1524,http://www.zillow.com/atherton-ca-94027/
94541,0,438100,487000,403400,470000,601900,401500,348,http://www.zillow.com/hayward-ca-94541/
95019,258700,0,0,0,0,0,0,0,http://www.zillow.com/freedom-ca-95019/
95471,0,0,0,0,0,0,0,0,http://www.zillow.com/guerneville-ca-95471/
94545,0,417600,479300,0,462800,563300,0,344,http://www.zillow.com/hayward-ca-94545/
94544,0,459500,471800,368600,455200,590900,0,367,http://www.zillow.com/hayward-ca-94544/
94709,575000,0,1072700,699000,975100,1200200,571300,581,http://www.zillow.com/berkeley-ca-94709/
94708,0,1205000,1091000,906700,1051800,1317300,0,621,http://www.zillow.com/kensington-ca-94708/
95010,0,406000,805200,505900,805200,958500,408400,535,http://www.zillow.com/capitola-ca-95010/
94548,0,0,0,0,0,0,0,0,http://www.zillow.com/brentwood-ca-94548/
95258,0,0,358000,0,278900,473900,0,188,http://www.zillow.com/acampo-ca-95258/
94704,425000,0,1024300,624500,914100,1081700,574900,571,http://www.zillow.com/berkeley-ca-94704/
94703,0,495000,832000,737900,877100,998200,0,625,http://www.zillow.com/berkeley-ca-94703/
94074,0,0,0,0,0,0,0,0,http://www.zillow.com/san-gregorio-ca-94074/
94070,0,1354800,1564100,1068500,1497700,1828100,796500,860,http://www.zillow.com/san-carlos-ca-94070/
94931,0,288000,479300,0,442100,508000,269900,295,http://www.zillow.com/petaluma-ca-94931/
95154,0,0,0,0,0,0,0,0,http://www.zillow.com/san-jose-ca-95154/
94939,0,1385000,1505500,911400,1436000,1918300,518500,745,http://www.zillow.com/larkspur-ca-94939/
95450,0,0,0,0,0,0,0,0,http://www.zillow.com/jenner-ca-95450/
95304,0,328500,497700,0,469500,545700,0,0,http://www.zillow.com/tracy-ca-95304/
94550,0,739600,733800,498700,650900,827700,351800,407,http://www.zillow.com/livermore-ca-94550/
94551,0,568800,617900,483800,578200,697200,498800,409,http://www.zillow.com/brentwood-ca-94551/
95269,0,0,0,0,0,0,0,0,http://www.zillow.com/stockton-ca-95269/
94555,0,905900,848700,512200,802000,901200,508700,516,http://www.zillow.com/fremont-ca-94555/
95267,0,0,0,0,0,0,0,0,http://www.zillow.com/stockton-ca-95267/
95487,0,0,0,0,0,0,0,0,http://www.zillow.com/sonoma-ca-95487/
94558,0,516500,527600,385400,490600,619400,387600,334,http://www.zillow.com/napa-ca-94558/
94559,0,664500,502000,452900,486600,673400,366700,375,http://www.zillow.com/napa-ca-94559/
95486,0,0,0,0,0,0,0,0,http://www.zillow.com/monte-rio-ca-95486/
94066,0,412600,863300,644700,864500,976500,0,620,http://www.zillow.com/san-bruno-ca-94066/
94063,0,785000,777800,707100,818300,903500,0,657,http://www.zillow.com/north-fair-oaks-ca-94063/
94061,0,1146200,1218200,894300,1177300,1507500,0,803,http://www.zillow.com/redwood-city-ca-94061/
95065,0,720000,731000,577800,723500,827000,521500,451,http://www.zillow.com/santa-cruz-ca-95065/
94103,0,895000,1416100,1119700,1408800,0,962900,959,http://www.zillow.com/san-francisco-ca-94103/
94102,0,521500,0,988000,0,0,835600,970,http://www.zillow.com/san-francisco-ca-94102/
94107,0,1072200,1420700,1254700,1485900,0,1011600,1015,http://www.zillow.com/san-francisco-ca-94107/
95062,0,688000,741900,651200,756300,872300,516600,554,http://www.zillow.com/santa-cruz-ca-95062/
95124,0,966800,977300,683400,923100,1082700,609300,629,http://www.zillow.com/cambrian-park-ca-95124/
