zip,Median House Price (May 2015),Ozone,PM2.5,Parks,Coffeeshops,Restaurants,AVERAGE of Temperature (1981-2010 Annual Average) in F,AVERAGE of Precipitation (1981-2010 Annual Total) in Inches
95155,,,,16,0,40,,
95156,,,,7,0,40,,
95157,,,,3,0,38,,
95158,,,,8,1,40,,
95159,,,,7,0,40,,
95160,,,,5,0,7,,
95161,,,,9,0,40,,
95164,,,,4,0,33,,
95170,,,,5,2,27,,
95172,,,,24,3,40,,
95173,,,,40,5,40,,
95190,,,,9,1,40,,
95191,,,,9,0,40,,
95192,,,,28,3,40,,
95193,,,,3,1,30,,
95194,,,,9,0,40,,
95196,,,,40,2,40,,
95201,,,,10,1,40,,
95202,,,,9,0,40,,
95208,,,,4,1,31,,
95227,,,,0,0,0,,
95234,,,,5,0,12,,
95296,,,,0,0,0,,
95412,,,,0,0,0,,
95452,,,,5,0,34,,
95480,,,,0,0,0,,
95686,,,,0,0,0,,
94929,,,,2,0,19,53.61666667,
95038,,,,3,0,40,61.56666667,
95304,,,,0,0,0,61.8875,12.965
95215,,,,0,0,1,61.31666667,14.06
95045,,,,1,0,1,58.8,14.19
94041,,,,40,5,40,60.28333333,14.68
95023,,,,1,0,0,57.47916667,15.125
94301,,,,25,6,40,58.45833333,16.15
94303,,,,9,0,7,58.45833333,16.15
94306,,,,12,1,26,58.45833333,16.15
94545,,,,1,0,2,58.84166667,18.04
94579,,,,4,0,15,58.84166667,18.04
95258,,,,20,0,3,61.23333333,19.02
94063,,,,2,0,10,59.35833333,20.32
94070,,,,8,0,15,59.35833333,20.32
95046,,,,1,0,0,61.12083334,20.54
94401,,,,13,0,40,58.15833333,20.65
94132,,,,10,1,40,55.29166667,20.68
94124,,,,10,1,40,60.31666667,20.78
94158,,,,40,12,40,60.31666667,20.78
94502,,,,8,1,10,58.90416667,20.795
95019,,,,1,0,25,57.2625,21.885
94102,,,,40,35,40,57.33333333,23.65
94603,,,,2,0,15,57.49166667,23.75
94621,,,,3,0,1,57.49166667,23.75
94612,,,,40,12,40,59.175,23.96
94503,,,,3,0,3,58.0125,24.05
94559,,,,3,0,6,58.0125,24.05
94010,,,,1,0,4,56.17083333,24.825
94805,,,,4,0,40,58.51666667,24.93
94027,,,,18,2,40,59.45,24.965
94061,,,,12,0,33,59.45,24.965
94062,,,,1,0,0,59.45,24.965
94030,,,,3,0,2,58.25833333,26.29
94066,,,,6,0,16,58.25833333,26.29
94931,,,,2,0,7,58.15,26.65
94951,,,,4,0,2,58.15,26.65
94703,,,,10,5,40,58.05,26.74
94708,,,,7,0,1,58.05,26.74
94709,,,,40,18,40,58.05,26.74
94019,,,,1,0,0,54.18333333,29
94025,,,,40,2,40,59.54166667,29.61
94037,,,,4,0,20,56.27083333,30.465
95010,,,,9,1,40,58.81666667,31.35
95065,,,,1,0,0,58.81666667,31.35
95073,,,,1,0,2,58.81666667,31.35
94044,,,,8,0,31,58.35833333,31.93
94574,,,,0,0,2,59.24722222,39.60333333
94028,,,,11,0,40,55.34166667,40.525
95436,,,,2,0,1,58.50555556,41.6925
95033,,,,13,2,40,55.34166667,41.77
94515,,,,1,0,4,59.7,42.035
94904,,,,2,0,28,58.66666667,43.12
94939,,,,19,0,40,58.66666667,43.12
95005,,,,1,1,15,58.53333333,50.48
95018,,,,9,1,29,58.53333333,50.48
95446,,,,3,0,0,,55.41
94923,,,,6,0,30,55.5375,56.99
94002,,,,14,0,40,,
94005,,,,17,0,40,,
94014,,,,14,0,40,,
94015,,,,5,0,21,,
94040,,,,31,1,40,,
94065,,,,19,1,40,,
94080,,,,20,0,40,,
94089,,,,9,0,21,,
94104,,,,40,37,40,,
94108,,,,40,40,40,,
94111,,,,40,29,40,,
94123,,,,40,8,40,,
94133,,,,40,15,40,,
94402,,,,2,1,10,,
94403,,,,14,2,40,,
94404,,,,28,1,40,,
94542,,,,1,0,0,,
94552,,,,1,0,1,,
94572,,,,0,0,1,,
94578,,,,3,0,40,,
94601,,,,7,0,40,,
94606,,,,24,4,40,,
94609,,,,22,8,40,,
94610,,,,38,8,40,,
94618,,,,7,0,3,,
94702,,,,32,5,40,,
94705,,,,6,1,7,,
94706,,,,40,4,40,,
94707,,,,24,2,40,,
94710,,,,21,10,40,,
94920,,,,35,1,40,,
94930,,,,11,2,40,,
94965,,,,0,0,0,,
95006,,,,0,0,0,,
95054,,,,10,1,28,,
95119,,,,7,0,18,,
95130,,,,5,0,30,,
95134,,,,7,0,1,,
95139,,,,1,0,3,,
95205,,,,8,0,19,,
95236,,,,0,0,0,,
95320,,,,0,0,0,,
95407,,,,8,0,2,,
95442,,,,6,0,38,,
